"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
6.099718840E-1	1.855506301E0	-2.794033289E0	8.746018410E0
6.128425540E-1	1.874659896E0	-2.784456491E0	8.765172005E0
6.141828070E-1	1.886630893E0	-2.772485495E0	8.784325600E0
6.169727460E-1	1.905784607E0	-2.772485495E0	8.817844391E0
6.183552310E-1	1.924938202E0	-2.784456491E0	8.832210541E0
6.210649770E-1	1.944091797E0	-2.789244890E0	8.841787338E0
6.226329610E-1	1.960851192E0	-2.794033289E0	8.860940933E0
6.251013620E-1	1.987187386E0	-2.796427488E0	8.892065048E0
6.264622690E-1	2.020706177E0	-2.798821688E0	8.937555313E0
6.291587080E-1	2.056619167E0	-2.798821688E0	8.992621422E0
6.306945770E-1	2.090138197E0	-2.794033289E0	9.050082207E0
6.332424390E-1	2.123656988E0	-2.791639090E0	9.093177795E0
6.344187690E-1	2.152387381E0	-2.796427488E0	9.129091263E0
6.373000920E-1	2.183511972E0	-2.803610086E0	9.157821655E0
6.390365000E-1	2.219424963E0	-2.813186884E0	9.176975250E0
6.413536310E-1	2.267308950E0	-2.808398485E0	9.179368973E0
6.425581540E-1	2.312798738E0	-2.791639090E0	9.176975250E0
6.454110540E-1	2.351106167E0	-2.772485495E0	9.179368973E0
6.469874610E-1	2.389413357E0	-2.734178305E0	9.179368973E0
6.494802460E-1	2.432508945E0	-2.676717520E0	9.176975250E0
6.507046150E-1	2.477998734E0	-2.624045134E0	9.157821655E0
6.535375920E-1	2.497152328E0	-2.571372509E0	9.136273384E0
6.548379610E-1	2.494758129E0	-2.513911724E0	9.102754593E0
6.575210770E-1	2.489969730E0	-2.454056740E0	9.059659004E0
6.588896920E-1	2.485181332E0	-2.413355350E0	8.999804497E0
6.617752850E-1	2.497152328E0	-2.382230759E0	8.927978516E0
6.634056540E-1	2.547430515E0	-2.327163935E0	8.848969460E0
6.658117460E-1	2.573766708E0	-2.300827742E0	8.829815865E0
6.670013070E-1	2.638410330E0	-2.236184359E0	8.796297073E0
6.698688620E-1	2.681505919E0	-2.152387381E0	8.774748802E0
6.714726920E-1	2.686294317E0	-2.013523579E0	8.757989883E0
6.739378230E-1	2.679111719E0	-1.968033791E0	8.755595207E0
6.752492300E-1	2.655169725E0	-1.879448295E0	8.746018410E0
6.779949770E-1	2.621650934E0	-1.778891921E0	8.762778282E0
6.797163840E-1	2.607285738E0	-1.738190413E0	8.781931877E0
6.820389770E-1	2.621650934E0	-1.707065821E0	8.805873871E0
6.833491540E-1	2.650381327E0	-1.692700624E0	8.813055992E0
6.860964000E-1	2.669534922E0	-1.699883223E0	8.798690796E0
6.878583460E-1	2.681505919E0	-1.711854219E0	8.786720276E0
6.901652850E-1	2.700659513E0	-1.714248419E0	8.781931877E0
6.913492690E-1	2.726995707E0	-1.707065821E0	8.796297073E0
6.942225150E-1	2.760514498E0	-1.692700624E0	8.832210541E0
6.957017300E-1	2.798821688E0	-1.671152830E0	8.875306129E0
6.983534000E-1	2.825158119E0	-1.651999116E0	8.918401718E0
6.996046540E-1	2.834734917E0	-1.632845521E0	8.951920509E0
7.024454380E-1	2.837129116E0	-1.618480325E0	8.983044624E0
7.040213840E-1	2.820369720E0	-1.601720929E0	9.023746490E0
7.064985920E-1	2.810792685E0	-1.575384736E0	9.064447403E0
7.076803070E-1	2.810792685E0	-1.539471745E0	9.088389397E0
7.105565540E-1	2.813186884E0	-1.505952835E0	9.100360870E0
7.121773840E-1	2.841917515E0	-1.479616642E0	9.119514465E0
7.146273610E-1	2.880224705E0	-1.453280449E0	9.145850182E0
7.161317300E-1	2.899378300E0	-1.429338455E0	9.169792175E0
7.186852460E-1	2.904166698E0	-1.391031146E0	9.198522568E0
7.203668840E-1	2.894589901E0	-1.352723956E0	9.236829758E0
7.227396690E-1	2.892195702E0	-1.340752959E0	9.244012833E0
7.239210770E-1	2.889801502E0	-1.314416766E0	9.244012833E0
7.267978610E-1	2.906560898E0	-1.283292055E0	9.234436035E0
7.283888070E-1	2.947262287E0	-1.264138460E0	9.236829758E0
7.308827840E-1	2.954444885E0	-1.256955862E0	9.239224434E0
7.320633840E-1	2.959233284E0	-1.247379065E0	9.227252960E0
7.349405920E-1	2.973598480E0	-1.235408068E0	9.193734169E0
7.362512690E-1	3.011905670E0	-1.225831270E0	9.133879662E0
7.389067690E-1	3.043030262E0	-1.221042871E0	9.088389397E0
7.403493840E-1	3.071760893E0	-1.204283476E0	9.045293808E0
7.431627460E-1	3.093308687E0	-1.199495077E0	9.026140213E0
7.447328840E-1	3.107673883E0	-1.201889277E0	9.021351814E0
7.471997460E-1	3.117250681E0	-1.216254473E0	9.028534889E0
7.483910770E-1	3.131615877E0	-1.230619669E0	9.038111687E0
