"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
2.364410422E0	-5.399999619E-1	-3.977999878E1	-1.787999916E1
2.372363229E0	-1.199999973E-1	-3.954000092E1	-1.776000023E1
2.380443652E0	2.999999821E-1	-3.989999771E1	-1.769999886E1
2.388671191E0	1.799999923E-1	-3.989999771E1	-1.794000053E1
2.396793112E0	5.999999866E-2	-3.965999985E1	-1.871999931E1
2.404863152E0	0.000000000E0	-3.959999847E1	-1.884000015E1
2.412734691E0	-5.999999866E-2	-3.954000092E1	-1.860000038E1
2.420849075E0	-4.199999869E-1	-3.959999847E1	-1.823999977E1
2.428983422E0	-1.799999923E-1	-3.989999771E1	-1.800000000E1
2.437047614E0	-3.599999845E-1	-4.013999939E1	-1.757999992E1
2.445103922E0	-2.399999946E-1	-3.995999908E1	-1.727999878E1
2.453264996E0	-2.399999946E-1	-4.007999802E1	-1.679999924E1
2.461189998E0	-3.599999845E-1	-4.037999725E1	-1.655999947E1
2.469455880E0	-5.999999866E-2	-4.031999969E1	-1.703999901E1
2.477446691E0	-4.799999893E-1	-4.068000031E1	-1.715999985E1
2.485615845E0	-5.999999866E-2	-4.079999924E1	-1.692000008E1
2.493513498E0	-1.199999973E-1	-4.055999756E1	-1.692000008E1
2.501562806E0	-4.199999869E-1	-4.050000000E1	-1.596000004E1
2.509825650E0	4.799999893E-1	-4.043999863E1	-1.577999973E1
2.517812114E0	2.399999946E-1	-4.031999969E1	-1.607999992E1
2.525871691E0	3.599999845E-1	-4.031999969E1	-1.589999962E1
2.533998114E0	5.999999642E-1	-4.050000000E1	-1.637999916E1
2.541963152E0	-1.799999923E-1	-4.037999725E1	-1.685999870E1
2.550155075E0	-4.799999893E-1	-4.050000000E1	-1.769999886E1
2.558170960E0	-6.599999666E-1	-4.031999969E1	-1.794000053E1
2.566204614E0	-6.599999666E-1	-4.002000046E1	-1.829999924E1
2.574257806E0	-4.799999893E-1	-3.989999771E1	-1.829999924E1
2.582361229E0	-2.399999946E-1	-3.965999985E1	-1.835999870E1
2.590557075E0	-2.399999946E-1	-3.941999817E1	-1.895999908E1
2.598570152E0	-8.399999738E-1	-3.905999756E1	-1.842000008E1
2.606732691E0	-1.439999938E0	-3.936000061E1	-1.835999870E1
2.614635652E0	-1.199999928E0	-3.923999786E1	-1.835999870E1
2.622709268E0	-1.439999938E0	-3.941999817E1	-1.811999893E1
2.630919498E0	-1.019999981E0	-4.013999939E1	-1.860000038E1
2.638978960E0	-8.399999738E-1	-4.002000046E1	-1.860000038E1
2.647074883E0	-8.399999738E-1	-4.025999832E1	-1.829999924E1
2.655161572E0	-7.199999690E-1	-4.031999969E1	-1.745999908E1
2.663141575E0	-5.399999619E-1	-4.007999802E1	-1.685999870E1
2.671350880E0	-3.599999845E-1	-4.055999756E1	-1.626000023E1
2.679447764E0	-3.599999845E-1	-4.068000031E1	-1.577999973E1
2.687408575E0	1.199999973E-1	-4.104000092E1	-1.602000046E1
2.695416037E0	3.599999845E-1	-4.157999802E1	-1.535999966E1
2.703573729E0	7.199999690E-1	-4.145999908E1	-1.542000008E1
2.711707498E0	6.599999666E-1	-4.127999878E1	-1.559999943E1
2.719718344E0	5.999999642E-1	-4.134000015E1	-1.517999935E1
2.727792114E0	7.199999690E-1	-4.097999954E1	-1.523999977E1
2.735766344E0	4.799999893E-1	-4.104000092E1	-1.523999977E1
2.743899960E0	1.079999924E0	-4.127999878E1	-1.439999962E1
2.752075152E0	1.139999986E0	-4.121999741E1	-1.457999992E1
2.760160421E0	8.399999738E-1	-4.170000076E1	-1.500000000E1
2.768194075E0	1.199999928E0	-4.157999802E1	-1.505999947E1
2.776284264E0	9.599999785E-1	-4.163999939E1	-1.553999996E1
2.784295460E0	1.199999928E0	-4.152000046E1	-1.565999985E1
2.792476302E0	1.259999990E0	-4.115999985E1	-1.583999920E1
2.800464537E0	1.079999924E0	-4.104000092E1	-1.596000004E1
2.808655075E0	1.079999924E0	-4.050000000E1	-1.721999931E1
2.816545729E0	5.999999866E-2	-4.025999832E1	-1.763999939E1
2.824690806E0	-4.199999869E-1	-4.025999832E1	-1.805999947E1
2.832858225E0	-6.599999666E-1	-3.984000015E1	-1.853999901E1
2.840837537E0	-1.379999995E0	-3.959999847E1	-1.835999870E1
2.848965344E0	-1.199999928E0	-3.936000061E1	-1.829999924E1
2.857048456E0	-1.319999933E0	-3.900000000E1	-1.895999908E1
2.865009652E0	-1.799999952E0	-3.900000000E1	-1.889999962E1
2.873224344E0	-2.099999905E0	-3.929999924E1	-1.931999969E1
2.881190614E0	-2.039999962E0	-3.936000061E1	-1.973999977E1
2.889424148E0	-2.099999905E0	-3.911999893E1	-1.961999893E1
2.897332421E0	-2.220000029E0	-3.881999969E1	-2.003999901E1
2.905525998E0	-1.919999957E0	-3.870000076E1	-1.979999924E1
2.913588960E0	-2.339999914E0	-3.845999908E1	-1.985999870E1
2.921716417E0	-2.279999971E0	-3.804000092E1	-2.015999985E1
2.929682229E0	-2.099999905E0	-3.804000092E1	-2.034000015E1
2.937748383E0	-2.460000038E0	-3.815999985E1	-2.003999901E1
2.945788767E0	-2.279999971E0	-3.845999908E1	-1.979999924E1
2.954000148E0	-2.579999924E0	-3.863999939E1	-1.968000031E1
2.961978844E0	-2.759999990E0	-3.887999725E1	-1.913999939E1
2.970105421E0	-2.639999866E0	-3.834000015E1	-1.913999939E1
2.978095652E0	-2.819999933E0	-3.815999985E1	-1.937999916E1
2.986149613E0	-2.700000048E0	-3.857999802E1	-1.902000046E1
2.994361763E0	-2.819999933E0	-3.887999725E1	-1.950000000E1
3.002366613E0	-3.000000000E0	-3.929999924E1	-1.985999870E1
3.010497267E0	-2.879999876E0	-3.923999786E1	-2.045999908E1
3.018558725E0	-2.939999819E0	-3.929999924E1	-2.057999992E1
3.026520844E0	-2.460000038E0	-3.905999756E1	-2.027999878E1
3.034734344E0	-2.220000029E0	-3.947999954E1	-1.992000008E1
3.042727037E0	-2.279999971E0	-3.995999908E1	-1.997999954E1
3.050850921E0	-1.919999957E0	-3.965999985E1	-1.992000008E1
3.058845421E0	-1.679999948E0	-3.936000061E1	-2.021999931E1
3.066955229E0	-1.259999990E0	-3.887999725E1	-2.057999992E1
3.075098613E0	-4.199999869E-1	-3.815999985E1	-2.034000015E1
3.083111036E0	-1.199999973E-1	-3.809999847E1	-2.069999886E1
3.091299878E0	5.999999866E-2	-3.791999817E1	-2.076000023E1
3.099303532E0	-4.199999869E-1	-3.797999954E1	-2.111999893E1
3.107389263E0	-6.599999666E-1	-3.821999741E1	-2.100000000E1
3.115489801E0	-7.199999690E-1	-3.839999771E1	-2.093999863E1
3.123501229E0	-1.019999981E0	-3.857999802E1	-2.076000023E1
3.131687686E0	-7.799999714E-1	-3.863999939E1	-1.997999954E1
3.139598421E0	-5.999999642E-1	-3.881999969E1	-2.003999901E1
3.147785186E0	-7.799999714E-1	-3.881999969E1	-1.931999969E1
3.155867690E0	-7.799999714E-1	-3.923999786E1	-1.950000000E1
3.163892729E0	-1.799999923E-1	-3.947999954E1	-1.926000023E1
3.171937806E0	-2.399999946E-1	-3.959999847E1	-1.865999985E1
