"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.917383833E0,-7.163019180E-1,9.730567336E-1,1.215533495E0
2.927341833E0,-4.613569975E-1,1.092487812E0,1.011102319E0
2.937300833E0,-3.047422171E-1,6.588877439E-1,1.051531076E0
2.947259833E0,-3.558956981E-1,1.946950257E-1,1.218374729E0
2.957218833E0,-3.470957875E-1,-3.250686079E-2,1.355265498E0
2.967177833E0,-1.415231675E-1,6.198528782E-2,1.452716947E0
2.977136833E0,1.329717636E-1,3.611133695E-1,1.584462523E0
2.987095833E0,4.263495803E-1,6.182799339E-1,1.776168108E0
2.997054833E0,5.831016302E-1,7.404463887E-1,1.903351188E0
3.007013833E0,4.379817545E-1,7.515674829E-1,1.979420900E0
3.016972833E0,7.118783891E-2,7.731645107E-1,1.974940658E0
3.026931833E0,-2.861005068E-1,8.457928896E-1,1.774261832E0
3.036890833E0,-4.945149124E-1,1.024528027E0,1.357256055E0
3.046849833E0,-5.062112808E-1,1.311517954E0,8.203476071E-1
3.056808833E0,-3.309699297E-1,1.549963832E0,2.299777865E-1
3.066767833E0,-3.638915345E-2,1.627120972E0,-3.117206395E-1
3.076725833E0,1.611068696E-1,1.643693805E0,-7.744774818E-1
3.086684833E0,1.587233394E-1,1.623460412E0,-1.208504558E0
3.096643833E0,4.920843244E-2,1.551363468E0,-1.594606996E0
3.106602833E0,-6.431659218E-3,1.414144039E0,-1.838311791E0
3.116561833E0,2.970926091E-2,1.195040107E0,-1.921238184E0
3.126520833E0,1.226615757E-1,8.649876714E-1,-1.851876616E0
3.136479833E0,1.925524175E-1,3.777795732E-1,-1.619123578E0
3.146438833E0,2.110278308E-1,-2.310480773E-1,-1.300899744E0
3.156397833E0,1.566980779E-1,-7.703269720E-1,-1.067701340E0
3.166356833E0,3.315084800E-2,-1.110146046E0,-9.717131853E-1
3.176315833E0,-9.531465918E-2,-1.163014293E0,-9.524360299E-1
3.186274833E0,-2.023649514E-1,-9.976563454E-1,-9.520842433E-1
3.196233833E0,-2.866841853E-1,-6.883185506E-1,-9.326685667E-1
3.206192833E0,-3.685463071E-1,-3.145747781E-1,-8.775549531E-1
3.216151833E0,-5.377773046E-1,-9.315939248E-2,-7.829974890E-1
3.226110833E0,-1.391005635E0,-3.949626386E-1,-4.873487651E-1
3.236069833E0,-1.712020636E0,-1.836078018E-1,-3.382077515E-1
3.246028833E0,-1.205186248E0,2.637201846E-1,-5.050755739E-1
3.255986833E0,-1.833878011E-1,6.089903712E-1,-7.126300931E-1
3.265945833E0,5.770637393E-1,1.377725363E0,-9.459395409E-1
3.275904833E0,5.525450110E-1,9.853405356E-1,-1.054280162E0
3.285863833E0,-1.315792799E-1,-2.615163326E-1,-1.008862138E0
3.295822833E0,-1.201130152E0,-1.530650556E-1,-7.485805750E-1
3.305781833E0,-2.625378370E-1,2.846494436E0,-5.571032763E-1
3.315740833E0,1.786441684E0,4.229046345E0,3.161003590E-1
3.325699833E0,3.457278252E0,2.621979237E0,1.925028324E0
3.335658833E0,4.519881725E0,6.255010366E-1,2.205131531E0
3.345617833E0,2.431548357E0,-3.005005419E-1,2.083907366E0
3.355576833E0,-1.119605973E-1,-2.366724730E0,1.712261915E0
3.365535833E0,-5.481722951E-1,-4.279912472E0,1.058881760E0
3.375494833E0,-1.998138279E-1,-4.703216553E0,5.362201333E-1
3.385453833E0,2.192175947E-2,-3.631167889E0,3.086665571E-1
3.395412833E0,6.432849914E-3,-1.744264245E0,2.853849530E-1
3.405370833E0,1.211748794E-1,2.454654425E-1,4.393742681E-1
3.415329833E0,4.062335491E-1,1.338801742E0,8.547514081E-1
3.425288833E0,5.447387099E-1,1.245272636E0,1.324980497E0
3.435247833E0,2.779240012E-1,5.377761126E-1,1.497892499E0
3.445206833E0,-2.785451114E-1,-4.155623168E-2,1.504380703E0
3.455165833E0,-8.517301083E-1,-1.542865932E-1,1.440847516E0
3.465124833E0,-1.216021776E0,2.709117532E-2,1.296909213E0
3.475083833E0,-1.299741983E0,3.313805461E-1,1.139834523E0
3.485042833E0,-1.228713870E0,5.160118937E-1,1.019377351E0
3.495001833E0,-1.170440793E0,5.509749055E-1,9.479853511E-1
3.504960833E0,-1.234384298E0,4.149111211E-1,8.845933080E-1
3.514919833E0,-1.393399477E0,1.582577229E-1,7.835901380E-1
3.524878833E0,-1.535183191E0,-1.164758429E-1,6.250734925E-1
3.534837833E0,-1.575169206E0,-4.032123089E-1,4.929098189E-1
3.544796833E0,-1.550868392E0,-6.273346543E-1,4.541613460E-1
3.554755833E0,-1.508819103E0,-7.334710360E-1,4.699523747E-1
3.564713833E0,-1.481259942E0,-7.645562887E-1,4.317725003E-1
3.574672833E0,-1.479919434E0,-8.282501101E-1,3.195267022E-1
3.584631500E0,-1.432358027E0,-9.874075651E-1,1.451780945E-1
3.594590500E0,-1.278960466E0,-1.097184181E0,-6.551709771E-2
3.604549500E0,-9.855277538E-1,-1.072665215E0,-3.027919829E-1
3.614508500E0,-6.110337973E-1,-9.795495868E-1,-5.539830923E-1
3.624467500E0,-2.553510368E-1,-7.316892147E-1,-8.025489450E-1
3.634426500E0,1.932874508E-2,-3.191024065E-1,-1.000542521E0
3.644385500E0,2.750065364E-2,6.049588788E-3,-1.105544686E0
3.654344500E0,-1.165934503E-1,3.102149665E-1,-1.231148243E0
3.664303500E0,5.977812409E-2,1.282672584E-1,-1.401546597E0
3.674262500E0,5.088868141E-1,1.919126064E-1,-1.552402735E0
3.684221500E0,1.644881248E0,9.449517727E-1,-1.665875316E0
3.694180500E0,2.916562557E0,9.335365891E-1,-1.536326528E0
3.704138500E0,1.623328328E0,-2.084918976E0,-1.852500916E0
3.714097500E0,7.392191887E-1,-3.875165939E0,-2.124958277E0
3.724056500E0,1.816223383E0,-2.750328541E0,-1.648595214E0
3.734015500E0,3.456163645E0,-5.185908675E-1,-1.179306269E0
3.743974500E0,2.311491251E0,-2.076598704E-1,-4.246226251E-1
3.753933500E0,3.315607309E-1,9.318714961E-3,4.074555933E-1
3.763892500E0,-4.415868819E-1,6.057466865E-1,3.744627535E-1
3.773851500E0,-3.860134780E-1,3.723305464E-1,4.878241122E-1
3.783810500E0,-9.529294819E-2,-1.080387309E-1,1.086648107E0
3.793769500E0,-1.348080188E-1,-4.193595648E-1,1.609547615E0
3.803728500E0,-2.678875029E-1,-4.620151520E-1,1.740655303E0
3.813687500E0,-3.597047329E-1,-7.636015303E-3,1.734871626E0
3.823645500E0,-2.520291209E-1,4.329981208E-1,1.783411145E0
3.833604500E0,-2.465581894E-2,7.682320476E-1,1.952437758E0
3.843563500E0,2.849680781E-1,1.048864484E0,2.195646524E0
3.853522500E0,4.667362571E-1,1.319525957E0,2.306402922E0
3.863481500E0,3.599083424E-1,1.627882481E0,2.163032532E0
3.873440500E0,-3.283751011E-2,1.903864026E0,1.780242085E0
